x1,ECG,x2,receiver,x3,Vg,x4,Received
0,27.11051,0.02,4.30602,0.0,13.33908,0.33333,96.19231
0.01631,26.11478,0.04,4.38041,0.02,13.1903,0.66667,97.69231
0.03903,24.6923,0.06,4.78613,0.04,12.42091,1.0,99.03846
0.06087,23.26983,0.08,5.10822,0.06,11.85521,1.33333,99.76923
0.07194,22.36751,0.1,4.90948,0.08,12.19989,1.66667,99.88462
0.35185,22.36751,0.12,3.73673,0.1,14.57077,2.0,99.57692
0.35191,22.36751,0.14,3.52316,0.12,15.08195,2.33333,99.11538
0.36198,23.61322,0.16,3.13087,0.14,16.1073,2.66667,98.80769
0.37118,24.60754,0.18,2.45149,0.16,18.232,3.0,98.73077
0.38103,25.14501,0.2,2.41466,0.18,18.36348,3.33333,99.03846
0.38892,25.33312,0.22,2.0702,0.2,19.70035,3.66667,99.30769
0.3968,25.14501,0.24,1.71168,0.22,21.35215,4.0,99.65385
0.40731,24.52692,0.26,2.32846,0.24,18.67922,4.33333,99.76923
0.4152,23.77446,0.28,1.69179,0.26,21.45367,4.66667,99.76923
0.42505,22.36751,0.3,1.58576,0.28,22.01585,5.0,99.76923
0.4566,22.36751,0.32,1.31729,0.3,23.62697,5.33333,99.65385
0.47631,14.26899,0.34,1.29782,0.32,23.75631,5.66667,99.61538
0.5,46.81002,0.36,1.63244,0.34,21.76386,6.0,99.65385
0.53216,14.26899,0.38,1.62465,0.36,21.8054,6.33333,99.73077
0.55318,22.36751,0.4,1.42226,0.38,22.96102,6.66667,99.84615
0.64883,22.36751,0.42,2.02384,0.4,19.89708,7.0,99.88462
0.67796,24.55006,0.44,1.59647,0.42,21.95738,7.33333,99.88462
0.70505,26.22146,0.46,1.6049,0.44,21.91164,7.66667,99.88462
0.72602,27.18163,0.48,1.37386,0.46,23.26175,8.0,99.92308
0.74495,27.60837,0.5,1.87485,0.48,20.56127,8.33333,99.88462
0.76039,27.92843,0.52,2.15471,0.5,19.35282,8.66667,99.88462
0.78078,27.89287,0.54,1.93568,0.52,20.28393,9.0,99.92308
0.8,27.11051,0.56,1.72247,0.54,21.29757,9.33333,99.88462
0.8,27.11051,0.58,1.62854,0.56,21.78463,9.66667,99.88462
0.81631,26.11478,0.6,2.10442,0.58,19.55795,10.0,99.88462
0.83903,24.6923,0.62,2.0967,0.6,19.58987,10.33333,99.88462
0.86087,23.26983,0.64,1.78832,0.62,20.9717,10.66667,99.92308
0.87194,22.36751,0.66,4.29696,0.64,13.35737,11.0,99.96154
1.15185,22.36751,0.68,4.22107,0.66,13.51215,11.33333,99.96154
1.15191,22.36751,0.7,4.6026,0.68,12.76054,11.66667,99.96154
1.16198,23.61322,0.72,4.23632,0.7,13.48082,12.0,100.0
1.17118,24.60754,0.74,4.03479,0.72,13.90418,12.33333,100.0
1.18103,25.14501,0.76,4.47108,0.74,13.01235,12.66667,99.96154
1.18892,25.33312,0.78,4.89796,0.76,12.2203,13.0,99.96154
1.1968,25.14501,0.8,4.56257,0.78,12.83641,13.33333,99.92308
1.20731,24.52692,0.82,4.64085,0.8,12.68865,13.66667,99.96154
1.2152,23.77446,0.84,4.35261,0.82,13.2456,14.0,100.0
1.22505,22.36751,0.86,4.22218,0.84,13.50987,14.33333,100.03846
1.3566,22.36751,0.88,4.12901,0.86,13.70368,14.66667,100.03846
1.37631,14.26899,0.9,4.63848,0.88,12.69309,15.0,100.03846
1.4,46.81002,0.92,3.84526,0.9,14.32209,15.33333,100.03846
1.43216,14.26899,0.94,3.02677,0.92,16.40101,15.66667,100.03846
1.45318,22.36751,0.96,2.12868,0.94,19.45839,16.0,100.07692
1.54883,22.36751,0.98,1.98317,0.96,20.0734,16.33333,100.07692
